[2025-11-18T08:33:00.032Z] 🚫 Banned IP tried again: ::1 | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T08:34:00.121Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T08:35:00.082Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T08:36:00.083Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T08:36:00.086Z] 🚷 IP banned for 10 min | IP=::1 | UA=n/a | URL=
[2025-11-18T08:37:01.622Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T08:37:29.473Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T09:00:00.131Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T09:01:00.120Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
[2025-11-18T09:02:00.096Z] ⚠️ Unauthorized admin attempt | IP=::1 | UA=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | URL=/api/admin/profiles
